                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2914,                 7.6114,                 2.3568,                0.38786,                0.00408,                 0.0029,                 0.0007,                 3.9781,                 4.7972,                  2.314,               0.070034,              0.0033296,              0.0033296
                      1,                 4.2397,                 4.5922,                 2.1066,                0.03099,                0.03447,                0.00339,                0.00087,                 3.9814,                 4.9809,                 2.0395,               0.039902,               0.006531,               0.006531
                      2,                 3.5307,                 3.5576,                 1.8556,                0.08132,                0.14748,                0.08935,                0.02612,                 3.1382,                 2.5613,                 1.7998,               0.009638,              0.0096004,              0.0096004
                      3,                 3.1512,                 2.4377,                 1.6855,                0.08336,                 0.1973,                0.10218,                0.02935,                 3.1397,                 2.7594,                 1.7149,               0.009406,               0.009406,               0.009406
                      4,                 2.8067,                 1.8917,                 1.5374,                0.34537,                 0.3774,                0.37947,                0.14596,                 2.3876,                 1.5635,                 1.4449,               0.009406,               0.009406,               0.009406
                      5,                  2.586,                 1.7056,                 1.4136,                0.41581,                0.44973,                0.46355,                0.18608,                 2.2029,                  1.396,                 1.3307,               0.009208,               0.009208,               0.009208
                      6,                 2.3728,                 1.5494,                 1.3176,                0.33329,                0.24906,                0.28674,                0.10305,                 2.5469,                 2.0607,                 1.4819,                0.00901,                0.00901,                0.00901
                      7,                 2.2391,                 1.4059,                 1.2545,                0.38849,                0.34258,                0.34402,                0.12543,                 2.5359,                 1.8074,                 1.4255,               0.008812,               0.008812,               0.008812
                      8,                 2.1296,                 1.2669,                 1.2059,                0.75074,                0.53017,                0.57163,                0.27083,                 1.8067,                 1.0381,                  1.161,               0.008614,               0.008614,               0.008614
                      9,                 2.0295,                 1.1943,                 1.1711,                0.74098,                0.49782,                0.55299,                0.24551,                 1.9714,                  1.115,                 1.1929,               0.008416,               0.008416,               0.008416
                     10,                 1.9465,                  1.129,                 1.1453,                0.76095,                0.54241,                0.59067,                 0.2892,                 1.7474,                0.98566,                  1.137,               0.008218,               0.008218,               0.008218
                     11,                   1.88,                 1.0858,                 1.1246,                0.75473,                0.56388,                0.61226,                0.31245,                 1.6542,                0.94939,                 1.1122,                0.00802,                0.00802,                0.00802
                     12,                 1.8023,                 1.0372,                 1.1055,                0.74422,                0.59451,                0.65341,                0.35177,                 1.5414,                0.86615,                 1.0708,               0.007822,               0.007822,               0.007822
                     13,                 1.7614,                 1.0024,                 1.0876,                0.75806,                0.61157,                0.66636,                0.35952,                 1.4866,                0.82868,                 1.0535,               0.007624,               0.007624,               0.007624
                     14,                 1.6931,                0.96836,                 1.0722,                0.75625,                0.58143,                0.63958,                0.34103,                  1.538,                0.86863,                 1.0547,               0.007426,               0.007426,               0.007426
                     15,                 1.6515,                0.93575,                 1.0573,                0.74162,                0.56579,                0.62902,                 0.3302,                 1.5813,                0.89867,                 1.0982,               0.007228,               0.007228,               0.007228
                     16,                 1.6171,                0.91411,                 1.0435,                0.70353,                0.63545,                0.67653,                0.38267,                 1.4092,                0.80185,                 1.0288,                0.00703,                0.00703,                0.00703
                     17,                 1.5683,                0.89008,                 1.0363,                0.74053,                0.62861,                0.67908,                0.38434,                 1.3832,                0.77101,                 1.0131,               0.006832,               0.006832,               0.006832
                     18,                 1.5335,                0.86432,                 1.0189,                0.74347,                 0.6534,                0.69965,                0.39826,                 1.3717,                0.73778,                 1.0023,               0.006634,               0.006634,               0.006634
                     19,                 1.5186,                0.85689,                 1.0143,                0.75943,                0.66334,                0.70331,                0.40073,                 1.3578,                0.73443,                0.99092,               0.006436,               0.006436,               0.006436
                     20,                 1.4904,                0.83766,                 1.0042,                0.77071,                0.65413,                0.70645,                0.41576,                 1.2731,                 0.7149,                0.98679,               0.006238,               0.006238,               0.006238
                     21,                 1.4572,                0.81909,                0.99472,                0.76808,                0.66374,                 0.7127,                0.41441,                  1.292,                 0.7023,                0.97749,                0.00604,                0.00604,                0.00604
                     22,                 1.4511,                0.81745,                 0.9895,                0.78361,                0.68002,                 0.7231,                0.42887,                 1.2415,                0.68701,                0.96418,               0.005842,               0.005842,               0.005842
                     23,                 1.4273,                0.80228,                0.98374,                0.78211,                0.67805,                0.73064,                0.43025,                 1.2412,                0.67624,                0.96549,               0.005644,               0.005644,               0.005644
                     24,                 1.4085,                0.79141,                0.97528,                0.78287,                0.67821,                0.72812,                0.43371,                  1.231,                0.67224,                0.95657,               0.005446,               0.005446,               0.005446
                     25,                 1.3703,                0.77492,                0.97075,                0.78908,                0.67076,                0.72377,                 0.4366,                 1.2014,                0.66435,                0.95449,               0.005248,               0.005248,               0.005248
                     26,                 1.3593,                0.76878,                0.96622,                  0.775,                0.67427,                0.73008,                0.43801,                 1.2089,                0.66614,                 0.9544,                0.00505,                0.00505,                0.00505
                     27,                 1.3367,                0.75436,                0.95839,                0.80423,                0.67973,                0.73541,                0.44642,                 1.1729,                0.65601,                0.94341,               0.004852,               0.004852,               0.004852
                     28,                 1.3253,                 0.7485,                0.95899,                0.80452,                0.68479,                0.73773,                0.44658,                 1.1758,                0.65064,                0.94375,               0.004654,               0.004654,               0.004654
                     29,                 1.2995,                 0.7377,                0.95327,                0.80347,                0.68469,                0.73838,                0.44805,                 1.1647,                0.64118,                0.93244,               0.004456,               0.004456,               0.004456
                     30,                 1.2956,                0.73741,                0.94907,                0.78484,                 0.6872,                0.73544,                0.44593,                 1.1683,                0.63773,                0.93886,               0.004258,               0.004258,               0.004258
                     31,                 1.2896,                0.73091,                0.94543,                0.78623,                0.68368,                0.73819,                 0.4524,                 1.1424,                0.62975,                0.93018,                0.00406,                0.00406,                0.00406
                     32,                  1.277,                0.72473,                0.94391,                0.79697,                0.68869,                0.74118,                0.45938,                 1.1169,                0.61734,                0.92425,               0.003862,               0.003862,               0.003862
                     33,                 1.2569,                0.71285,                0.93524,                0.80065,                0.69158,                0.74241,                0.45963,                 1.1136,                0.61747,                0.92083,               0.003664,               0.003664,               0.003664
